Попис ,Вкупно ,0-14 г. ,% ,15-64 г. ,% ,65> ,% ,непознато 
1921,797841,713773,"39,4 ",426653,"53,4 ",57444,"7,2 ",- 
1931,949958,364277,"38,3 ",526798,"54,5 ",58853,"7,2 ",30
1948,1.152.986 ,437986,"38,0 ",643313,"55,8 ",71635,"6,2 ",52
1953,1.304.514 ,481713,"36,9 ",745535,"57,2 ",77127,"5,9 ",139
1961,1.406.003 ,522919,"37,2 ",806761,"57,5 ",74891,"5,3 ",1432
1971,1.647.308 ,535713,"32,5 ",1.012.359 ,"61,5 ",94859,"6,0 ",4377
1981,1.909.136 ,555177,"29,1 ",1.221.155 ,"64,0 ",128261,"6,9 ",4543
1991,2.033.964 ,487952,"24,0 ",1.365.390 ,"67,2 ",165716,"8,1 ",14906
1994,1.945.932 ,483923,"24,9 ",1.294.028 ,"66,5 ",164678,"8,5 ",3303
2002,2.022.547 ,4280,"21,2 ",1.381.388 ,"68,3 ",213712,"10,5 ",1203
